contestant_id,name,first_name,last_name,nick_name,hometown,photo_url
113692,Elizabeth Frost,Elizabeth,Frost,,"McGregor, TX",
114326,Katlyn Hooper,Katlyn,Hooper,,"Crescent, OK",
113247,Ryann Packard,Ryann,Packard,,"Mineral Wells, TX",
107546,Jade Mitchell,Jade,Mitchell,,"Weatherford, TX",
99967,TiAda Gray,TiAda,Gray,,"May, TX",
100129,Whitney Profili,Whitney,Profili,,"Normangee, TX",
100893,Sawyer Gilbert,Sawyer,Gilbert,,"Buffalo, SD",
103684,Madalyn Richards,Madalyn,Richards,,"Hereford, TX",
105496,Braylee Shepherd,Braylee,Shepherd,,"Fitzhugh, OK",
113235,Kirby Rawlinson,Kirby,Rawlinson,,"Waller, TX",
101363,Maddy Jacobs,Maddy,Jacobs,,"Hope, NM",
100447,Sloan Anderson,Sloan,Anderson,,"Whitehorse, SD",
103133,Tiffany Schieck,Tiffany,Schieck,,"Floresville, TX",
102367,Brighton Bauman,Brighton,Bauman,,"Burleson, TX",
100379,Kelsie Domer,Kelsie,Domer,,"Dublin, TX",
92481,Taylor Engesser,Taylor,Engesser,,"Spearfish, SD",
100202,Rickie Fanning,Rickie,Fanning,,"Martin, SD",
100334,Taylor Munsell,Taylor,Munsell,,"Alva, OK",
102916,Josie Conner,Josie,Conner,,"Iowa, LA",
103146,Lauren Hopkins,Lauren,Hopkins,,"Lipan, TX",
101461,Madison Outhier,Madison,Outhier,,"Utopia, TX",
113261,Maddi Hickmon,Maddi,Hickmon,,"Peaster, TX",
96388,Jimmie Smith,Jimmie,Smith,,"McDade, TX",/images/2020/11/4/04_Smith_Jimmie_cutout_71.png
109982,Haiden Thompson,Haiden,Thompson,,"Yoder, WY",
100335,Kirsten George,Kirsten,George,,"Nacogdoches, TX",
105344,Rylee George,Rylee,George,,"Oakdale, CA",
99973,Erin Johnson,Erin,Johnson,,"Fowler, CO",/images/2020/11/11/15_Johnson_Erin_blue.png
100088,Cheyanne McCartney,Cheyanne,McCartney,,"Kingston, OK",
100369,Martha Angelone,Martha,Angelone,,"Stephenville, TX",/images/2020/11/10/03_Angelone_Martha_blue.png
101382,Beau Peterson,Beau,Peterson,,"Council Grove, KS",
101971,Jordi Edens-Mitchell,Jordi,Edens-Mitchell,,"Stephenville, TX",
103679,Hali Williams,Hali,Williams,,"Comanche, TX",
108506,Payton Johnson,Payton,Johnson,,"Stephenville, TX",
113103,Jaci Hammons,Jaci,Hammons,,"Dublin, TX",
109993,McKinlee Paschal,McKinlee,Paschal,,"Madisonville, TX",
74057,Tammy Lowe,Tammy,Lowe,,"Gilmer, TX",
102875,Delaney Siebert,Delaney,Siebert,,"Millsap, TX",
100996,Kylee Scribner,Kylee,Scribner,,"Bellevue, TX",
113547,Hevenli Scribner,Hevenli,Scribner,,"Azle, TX",
74698,JJ Baldwin,JJ,Baldwin,,"Lufkin, TX",
99780,Charla Wooten,Charla,Wooten,,"Buffalo, TX",
97918,Kaysie Burgess,Kaysie,Burgess,,"Shreveport, LA",
97633,Jo Fisher,Jo,Fisher,,"Millsap, TX",
107578,Reaganlynn Gambill,Reaganlynn,Gambill,,"Magnolia, TX",
96552,Erin Wetzel,Erin,Wetzel,,"Plant City, FL",
109030,Josey Armstrong,Josey,Armstrong,,"Huntington, TX",
113459,Chery Pinkston,Chery,Pinkston,,"Kaufman, TX",
113468,Hazlee Mckenzie,Hazlee,Mckenzie,,"Muldrow, OK",
107594,Kacy Riley,Kacy,Riley,,"Pittsburg, TX",
99445,Sarah Roberts,Sarah,Roberts,,"Millsap, TX",
90691,Karen Little,Karen,Little,,"San Saba, TX",
105267,Hannah Oakley,Hannah,Oakley,,"Dade City, FL",
90391,Summer Cooper,Summer,Cooper,,"Canton, TX",
73987,Andrea Cline,Andrea,Cline,,"Springtown, TX",
108016,Shelley Spence,Shelley,Spence,,"Ben Wheeler, TX",
112065,Jaylan Neatherlin,Jaylan,Neatherlin,,"Brock, TX",
103301,Keylie Tatum,Keylie,Tatum,,"La Plata, NM",
111944,Stormie Wisnoski,Stormie,Wisnoski,,"Navasota, TX",
109476,Caley Walkoviak,Caley,Walkoviak,,"Anderson, TX",
105679,Sierra Scott-Williams,Sierra,Scott-Williams,,"Wills Point, TX",
75846,Kristi Cole,Kristi,Cole,,"Magnolia, TX",
113222,Harley Potter,Harley,Potter,,"Waxahachie, TX",
110183,Mallory Witherspoon,Mallory,Witherspoon,,"Terrell, TX",
113307,Brooke Krolczyk,Brooke,Krolczyk,,"Cypress, TX",
111426,Amie Hennen,Amie,Hennen,,"Gainesvillee, TX",
114048,Gracie-Anne Mason,Gracie-Anne,Mason,,"Lovelady, TX",
73589,Deb Guelly,Deb,Guelly,,"Cat Springs, TX",
75404,Dina Allred,Dina,Allred,,"Golden, TX",
114278,Jessica Kennerly,Jessica,Kennerly,,"Grapeland, TX",
76994,Angela Festervan,Angela,Festervan,,"Benton, LA",
74007,Monica Dike,Monica,Dike,,"Van, TX",
74426,Ashley Harvey,Ashley,Harvey,,"Decatur, TX",
114421,Dallis McEntire,Dallis,McEntire,,"Jacksboro, TX",
